book_name,chapter_id,entry_id,date,sentence,Positive_score,Positive_pred,Negative_score,Negative_pred,Neutral_score,Neutral_pred
FitS,c01,chc01_e1,July 15,", 1815 Robbie is lost without Mother.",0.7207784,1,0.8499104,1,0.18195915,0
FitS,c01,chc01_e1,July 15,"At nine years he is old enough to accept that she will never return, but not old enough to understand it.",0.42482358,0,0.6955028,1,0.37206697,0
FitS,c01,chc01_e1,July 15,"Mind you, I’m not sure any of us understands.",0.056647368,0,0.096263066,0,0.92024004,1
FitS,c01,chc01_e1,July 15,"James, being such a good older brother, tries to cheer him with his never-ending wit and humour, but all his attempts seem to fall flat.",0.2351179,0,0.44656286,0,0.6021209,1
FitS,c01,chc01_e1,July 15,"The companionship Robbie normally shares with Father is also taken from him, as Father is too sunk in grief to notice anything.",0.533767,1,0.84015405,1,0.23687805,0
FitS,c01,chc01_e1,July 15,Father sits listlessly on his bunk all day.,0.08794748,0,0.41949508,0,0.7315188,1
FitS,c01,chc01_e1,July 15,I have to practically drag him up on deck.,0.12360738,0,0.33921564,0,0.77861845,1
FitS,c01,chc01_e1,July 15,He speaks to no one.,0.017707637,0,0.06395614,0,0.9616153,1
FitS,c01,chc01_e1,July 15,"I remember the day, just after my twelfth birthday, when Father came home looking fit to burst, with the news that would change our lives forever.",0.8892279,1,0.8381977,1,0.12241142,0
FitS,c01,chc01_e1,July 15,A more different man than the one I see before me I cannot imagine.,0.104618095,0,0.46324432,0,0.6936286,1
FitS,c01,chc01_e1,July 15,His eyes shone with excitement.,0.032403454,0,0.0078170905,0,0.98638004,1
FitS,c01,chc01_e1,July 15,He could barely stand still.,0.008063303,0,0.13387889,0,0.9465084,1
FitS,c01,chc01_e1,July 15,"“I have met with a fellow who represents the Earl of Selkirk,” he said.",0.23233022,0,0.09178279,0,0.86557114,1
FitS,c01,chc01_e1,July 15,“He is recruiting men to leave Scotland to settle in Rupert’s Land in the New World!,0.83103454,1,0.74129665,1,0.19108042,0
FitS,c01,chc01_e1,July 15,It will mean a long sea voyage.,0.7479409,1,0.7965027,1,0.1904711,0
FitS,c01,chc01_e1,July 15,But in the New World we will own our own land.,0.84689325,1,0.73825645,1,0.18217218,0
FitS,c01,chc01_e1,July 15,"And the Red River, apparently, is in a fertile valley, with a growing season long enough to bring in a good crop.",0.604298,1,0.36688697,0,0.48737857,0
FitS,c01,chc01_e1,July 15,"This is our chance,” Father had declared.",0.78527313,1,0.4764473,0,0.3890014,0
FitS,c01,chc01_e1,July 15,“This is our chance to make something of ourselves.,0.7976619,1,0.40573385,0,0.42659658,0
FitS,c01,chc01_e1,July 15,To start over.,0.08998472,0,0.04170486,0,0.94448894,1
FitS,c01,chc01_e1,July 15,To become landowners.,0.086313844,0,0.05366821,0,0.92511725,1
FitS,c01,chc01_e1,July 15,To rise in the world.,0.7099663,1,0.48852992,0,0.3889457,0
FitS,c01,chc01_e1,July 15,And not always live in servitude.” Mother had laughed with delight.,0.26260588,0,0.51028305,1,0.5704474,1
FitS,c01,chc01_e1,July 15,"“You need not convince me, William,” she said.",0.014403197,0,0.053267263,0,0.9657569,1
FitS,c01,chc01_e1,July 15,“We will go on the biggest adventure of our lives.” At that she tossed the sewing that was in her hands up in the air and Father caught her in his arms and they spun around and around as if they could hear the music and they were dancing in a ballroom filled with candles and flowers.,0.872993,1,0.4512206,0,0.32275507,0
FitS,c01,chc01_e1,July 15,"I pictured us living in a grand house in the New World, with servants to wait on me and young men coming to call.",0.9075768,1,0.62478095,1,0.22801457,0
FitS,c01,chc01_e1,July 15,"I wasn’t frightened, not at all.",0.0043859105,0,0.022536095,0,0.9886199,1
FitS,c01,chc01_e1,July 15,"Of course, I was sorry to think of leaving my friends, but in a way I had known all along, my whole life, that I would be leaving.",0.7141771,1,0.8083628,1,0.19629604,0
FitS,c01,chc01_e1,July 15,I was destined for a better life.,0.3596633,0,0.4475362,0,0.5912514,1
FitS,c01,chc01_e1,July 15,And now it was coming true.,0.17399453,0,0.07168234,0,0.8945561,1
FitS,c01,chc01_e2,July 17,"Today I spent some time sewing, altering some of Mother’s dresses so they would fit me.",0.10933704,0,0.0801589,0,0.90655696,1
FitS,c01,chc01_e2,July 17,Father came across me doing so.,0.05976537,0,0.04501789,0,0.9558302,1
FitS,c01,chc01_e2,July 17,"He lifted the sleeve of one dress, dropped it and then finally spoke.",0.016566921,0,0.04544787,0,0.9679741,1
FitS,c01,chc01_e2,July 17,"“Have I told you, Isobel, how your mother and I met?” I have heard it numerous times, of course, but was so happy to hear Father speak at all, I simply said, “Please tell me, Father.” I put down my sewing and waited while he settled himself beside me.",0.4084629,0,0.48934075,0,0.5062063,1
FitS,c01,chc01_e2,July 17,"“When your mother was only eighteen, her father lost all his money on some scheme he had invested in.",0.2569083,0,0.40489906,0,0.66451335,1
FitS,c01,chc01_e2,July 17,"Your mother, along with her three sisters, was forced to find employment.",0.16654518,0,0.47803485,0,0.65342355,1
FitS,c01,chc01_e2,July 17,"And in a way that was a lucky day for me, because she became a governess in a big house in the south of Scotland, where I was working in the stables taking care of the racehorses.",0.73838055,1,0.4802035,0,0.4028141,0
FitS,c01,chc01_e2,July 17,"“I fell in love with her the moment I saw her, and she loved me too.",0.13451749,0,0.055504903,0,0.93109506,1
FitS,c01,chc01_e2,July 17,"But we could not marry, being of such different stations.",0.5333044,1,0.7630906,1,0.28401536,0
FitS,c01,chc01_e2,July 17,We would meet secretly when the family went away and we could walk together and talk.,0.86898017,1,0.30837733,0,0.4501804,0
FitS,c01,chc01_e2,July 17,Finally we decided to run away.,0.2570205,0,0.16804864,0,0.7928986,1
FitS,c01,chc01_e2,July 17,I remember that day.,0.039597612,0,0.036385894,0,0.96609014,1
FitS,c01,chc01_e2,July 17,"It was cold and a hard rain fell, but we felt like it was the sunniest day there had ever been.",0.7721921,1,0.8018958,1,0.16360272,0
FitS,c01,chc01_e2,July 17,We …” Here his voice trailed off.,0.42813683,0,0.3574285,0,0.5921008,1
FitS,c01,chc01_e2,July 17,"“What then, Father?” I urged him, even though I could have recited the story myself almost word for word.",0.20482962,0,0.3967542,0,0.67217106,1
FitS,c01,chc01_e2,July 17,"I wanted to keep him talking, hoping that it would help his grief.",0.16447769,0,0.2063015,0,0.8231436,1
FitS,c01,chc01_e2,July 17,"And also, I must admit, just to be with him.",0.10516079,0,0.08350164,0,0.9155581,1
FitS,c01,chc01_e2,July 17,"I feel so lonely without Mother, and now, in a way, without him.",0.32261536,0,0.8587365,1,0.2863805,0
FitS,c01,chc01_e2,July 17,"“We rented land in the Highlands, but we always had bigger dreams.",0.8318401,1,0.54839236,1,0.31191957,0
FitS,c01,chc01_e2,July 17,"We imagined owning our own land, giving you children a better life.",0.89424324,1,0.6617626,1,0.2143394,0
FitS,c01,chc01_e2,July 17,"That’s why Mother insisted that you speak English at home, not Gaelic.",0.39040557,0,0.29265127,0,0.69094664,1
FitS,c01,chc01_e2,July 17,"That’s also why she taught you all that fancy needlework.” “And how to pour tea like a lady, and how to walk straight and tall as if balancing a book on the top of my head,” I added.",0.22893918,0,0.07949615,0,0.87348443,1
FitS,c01,chc01_e2,July 17,"He nodded and then without another word got up and wandered off, seeming to forget all about me again.",0.28969195,0,0.5469834,1,0.5313526,1
FitS,c01,chc01_e3,July 25,We have sailed past Greenland and are heading into The Davis Strait.,0.8857934,1,0.6142417,1,0.23215443,0
FitS,c01,chc01_e3,July 25,Two of the sailors have scrambled into the crow’s-nest and are using spyglasses to look for icebergs.,0.506959,1,0.4923693,0,0.43900263,0
FitS,c01,chc01_e3,July 25,"This afternoon they spotted whales, and all the young people crowded the railings to get a good view.",0.76817286,1,0.50470734,1,0.33009577,0
FitS,c01,chc01_e3,July 25,"What a magnificent sight it was, seeing the huge beasts break through the water and then crash back in again, tails slamming the surface, sending waves and spray every which way.",0.5760486,1,0.7171464,1,0.2594763,0
FitS,c01,chc01_e4,July 27,"This morning I taught the Bible class, as Mr. McBeth has become ill.",0.19599715,0,0.28641862,0,0.73197347,1
FitS,c01,chc01_e4,July 27,"Apparently the adults are unhappy with his tutoring and have asked young John Matheson to take his place, which he will do tomorrow.",0.08794382,0,0.11115116,0,0.8820604,1
FitS,c01,chc01_e4,July 27,Then classes will be held regularly from 11 until 2 daily.,0.019809144,0,0.011719627,0,0.98433477,1
FitS,c01,chc01_e4,July 27,"I have been asked to be an assistant, since my English is so advanced compared to the rudimentary English of most of the others on the ship.",0.6260446,1,0.67914075,1,0.29945678,0
FitS,c01,chc01_e4,July 27,I read from Exodus.,0.08869663,0,0.09087489,0,0.91110647,1
FitS,c01,chc01_e4,July 27,"And I could not help but think of Mother, who will never reach the Promised Land, just as Moses was kept away by God himself.",0.51707566,1,0.82977265,1,0.22576033,0
FitS,c01,chc01_e4,July 27,She was so excited as we packed.,0.7134246,1,0.112441055,0,0.76542133,1
FitS,c01,chc01_e4,July 27,She couldn’t wait to go on such an adventure.,0.23497133,0,0.43480358,0,0.6515777,1
FitS,c01,chc01_e4,July 27,And she cared little about leaving things behind.,0.037994977,0,0.13157944,0,0.9177617,1
FitS,c01,chc01_e4,July 27,"She did take the good silver that she had been given from her father’s estate when it was liquidated, but only in case we needed to sell it at some point.",0.7069458,1,0.4989674,0,0.40314925,0
FitS,c01,chc01_e4,July 27,Other than that it was all practicality.,0.06456882,0,0.1512816,0,0.88996226,1
FitS,c01,chc01_e4,July 27,"We packed our warm clothes, shawls, stockings, gloves and sturdy boots.",0.5947241,1,0.59472704,1,0.37592164,0
FitS,c01,chc01_e4,July 27,"“It will be a hard life at first,” she warned me.",0.32736817,0,0.30973294,0,0.70138377,1
FitS,c01,chc01_e4,July 27,"“Hard, backbreaking work.",0.026925588,0,0.05999394,0,0.94861126,1
FitS,c01,chc01_e4,July 27,"Don’t be dreaming of servants and an easy life, my little Isobel.",0.076796405,0,0.20019661,0,0.8529179,1
FitS,c01,chc01_e4,July 27,Be prepared for what will come.,0.23582135,0,0.2126619,0,0.74599355,1
FitS,c01,chc01_e4,July 27,"It may be your children who will see the easy life, not you at all.",0.43760222,0,0.54927355,1,0.44637626,0
FitS,c01,chc01_e4,July 27,"Remember, we will not own the land right away; we will have to work for it.” “I know that, Mother,” I assured her.",0.6522206,1,0.44204256,0,0.4644908,0
FitS,c01,chc01_e4,July 27,“The Hudson’s Bay Company has granted this land to Lord Selkirk and your father says that it is not to be all smooth sailing.,0.7725765,1,0.77608967,1,0.19633038,0
FitS,c01,chc01_e4,July 27,"They are a fur trading company, and already a rival fur trading company — The North West Company — has been sending men to discourage us from sailing.",0.82736695,1,0.74148625,1,0.18938805,0
FitS,c01,chc01_e4,July 27,"They warn of all sorts of trials in Rupert’s Land.” “I don’t give a trifle for that,” I scoffed.",0.2699788,0,0.2987335,0,0.7016967,1
FitS,c01,chc01_e4,July 27,“One day we will own our own land.,0.8220386,1,0.58119,1,0.30050182,0
FitS,c01,chc01_e4,July 27,"And then we can build a grand estate, the envy of everyone.” At the same time, I was sorry to say good-bye to Helen — it is hard to part from your dearest friend since childhood.",0.8541466,1,0.7076843,1,0.21253337,0
FitS,c01,chc01_e4,July 27,There is talk that soon everyone in the Highlands will have to leave because the land is to be given over to the sheep.,0.5960932,1,0.69579947,1,0.28273833,0
FitS,c01,chc01_e4,July 27,"But that has not happened yet in our area, and we hope for the sake of the people we are leaving behind that it will not.",0.79525566,1,0.8366396,1,0.13552171,0
FitS,c01,chc01_e5,July 28,"Just when I think I am getting better, I find myself suddenly and unexpectedly weeping.",0.08043058,0,0.45480135,0,0.73295933,1
FitS,c01,chc01_e5,July 28,I try to find a private place because I don’t want to worry James or Robbie.,0.29499727,0,0.25584978,0,0.74528515,1
FitS,c01,chc01_e5,July 28,"However, James discovered me this morning, huddled in a corner, and tried to cheer me up.",0.08724574,0,0.091504455,0,0.9169179,1
FitS,c01,chc01_e5,July 28,The boat was rolling quite a bit — the wind was up.,0.34402585,0,0.4760162,0,0.51162827,1
FitS,c01,chc01_e5,July 28,"He said, “Do you know what I tell anyone who is feeling seasick?",0.048824552,0,0.24899945,0,0.85351586,1
FitS,c01,chc01_e5,July 28,I tell them to put a coin in their teeth before they lean over the side.,0.015632683,0,0.03960414,0,0.97096205,1
FitS,c01,chc01_e5,July 28,"If that doesn’t prevent them from being sick, I’m not sure what will!” I smiled a little through my tears.",0.3440456,0,0.4121997,0,0.6279973,1
FitS,c01,chc01_e5,July 28,"“I know you miss Mother something terrible,” James said, patting my hand.",0.13063052,0,0.14494888,0,0.8780445,1
FitS,c01,chc01_e5,July 28,“I do too.,0.021638867,0,0.0097735515,0,0.9878898,1
FitS,c01,chc01_e5,July 28,"But she would want us to be happy.” “To be sure, she would,” I agreed.",0.39872593,0,0.08526131,0,0.84954035,1
FitS,c01,chc01_e5,July 28,"“It isn’t easy, though.” “McTavish broke his arm,” James said, with that serious look on his face that meant he was about to tell another joke.",0.21639657,0,0.24704538,0,0.75232065,1
