"book_name","chapter_id","entry_id","date","sentence","pos","neg","neu","immigration"
"SofS","c02","chc02_e6","May 9, 1847","Before we sailed, the captain ordered all the married men above deck.",0,0,1,1
"SofS","c02","chc02_e6","May 9, 1847","Da said they were told to form a committee and that he was elected head of it.",0,0,1,1
"SofS","c02","chc02_e6","May 9, 1847","The committee’s job is to keep watch during the night to make sure there are no irregularities, to alert the captain if anyone falls ill, and to secure the hatches if there is a storm.",0,0,1,1
"SofS","c02","chc02_e6","May 9, 1847","Ma looked frightened when he mentioned the word storm .",0,1,0,1
"SofS","c02","chc02_e6","May 9, 1847","I asked what irregularities the committee is to watch for.",0,0,1,1
"SofS","c02","chc02_e6","May 9, 1847","Da said, with a wink, that it must make sure all the young men and young women are where they are supposed to be and not where they should not be.",1,0,0,1
"SofS","c02","chc02_e6","May 9, 1847","Ma told him to hush.",0,0,1,0
"SofS","c02","chc02_e6","May 9, 1847","Da also said that we must air our bedding and dry-scrub our berths twice a week.",0,0,1,1
"SofS","c02","chc02_e6","May 9, 1847","No one is allowed to smoke or light a fire below deck.",0,0,1,1
"SofS","c02","chc02_e6","May 9, 1847","Finally, he said that we would receive one week’s rations at a time and that each family must take turns sending someone above to cook meals.",0,0,1,1
"SofS","c02","chc02_e6","May 9, 1847","The rations are mostly oatmeal.",0,0,1,1
"SofS","c02","chc02_e6","May 9, 1847","On some days we will get ship’s biscuit.",0,0,1,1
"SofS","c02","chc02_e6","May 9, 1847","Da does not know what the biscuit tastes like.",0,0,1,1
"SofS","c02","chc02_e6","May 9, 1847","There are two fireplaces on the deck for cooking.",0,0,1,1
"SofS","c02","chc02_e6","May 9, 1847","I climbed the ladder to peek at them.",1,0,0,1
"SofS","c02","chc02_e6","May 9, 1847","They are big wooden boxes lined with bricks, and they have metal grates set on them.",0,0,1,1
"SofS","c02","chc02_e6","May 9, 1847","Da says they will be lit at seven every morning, if the weather is fine enough, and put out at sunset.",0,1,0,1
"SofS","c02","chc02_e6","May 9, 1847","I do not know what we are supposed to do when the weather is not fine.",0,0,1,1
"SofS","c02","chc02_e6","May 9, 1847","Some of the older boys were asked to keep the deck clean and the cistern filled with water.",1,0,0,1
"SofS","c02","chc02_e6","May 9, 1847","Michael raised his hand to volunteer.",0,0,1,0
"SofS","c02","chc02_e6","May 9, 1847","The great ugly girl from the next berth started to raise her hand as well.",0,1,0,0
"SofS","c02","chc02_e6","May 9, 1847","Her da grabbed hold of it and jerked it down.",0,1,0,0
"SofS","c02","chc02_e6","May 9, 1847","He told her to get her head out of the clouds.",0,0,1,0
"SofS","c02","chc02_e6","May 9, 1847","Patrick was fussing, so Ma sent me to cook the oatmeal.",0,1,0,1
"SofS","c02","chc02_e6","May 9, 1847","I was afraid to go.",0,1,0,1
"SofS","c02","chc02_e6","May 9, 1847","What if I fell overboard?",0,1,0,1
"SofS","c02","chc02_e6","May 9, 1847","What if I ruined the meal?",1,0,0,0
"SofS","c02","chc02_e6","May 9, 1847","Mrs. Keenan, the rude girl’s mother, offered to help me.",1,0,0,0
"SofS","c02","chc02_e6","May 9, 1847","She is very nice.",0,1,0,0
"SofS","c02","chc02_e6","May 9, 1847","I don’t know how she could have raised such an unpleasant daughter.",1,0,0,1
"SofS","c02","chc02_e6","May 9, 1847","The fireplace wasn’t as hard to cook on as I feared.",1,0,0,1
"SofS","c02","chc02_e6","May 9, 1847","I didn’t burn the oatmeal.",0,1,0,0
"SofS","c02","chc02_e6","May 9, 1847","The rude girl gobbled her food like a pig.",0,0,1,0
"SofS","c02","chc02_e6","May 9, 1847","Mrs. Keenan did not scold her.",0,0,1,0
"SofS","c02","chc02_e22","May 30, 1847","Two more passengers have been sent to their rest in the sea.",0,1,0,1
"SofS","c02","chc02_e22","May 30, 1847","While we stood above deck after the service, someone spotted a shark.",0,1,0,1
"SofS","c02","chc02_e22","May 30, 1847","Someone else muttered about being flung into the brine like rotten sheep into a pit.",0,1,0,1
"SofS","c02","chc02_e22","May 30, 1847","More people are ill.",0,1,0,1
"SofS","c03","chc03_e4","June 8, 1847","I have been too busy to write.",0,0,1,0
"SofS","c03","chc03_e4","June 8, 1847","Connor’s father died two days ago.",0,1,0,0
"SofS","c03","chc03_e4","June 8, 1847","Colleen followed him.",0,1,0,0
"SofS","c03","chc03_e4","June 8, 1847","Kevin is poorly.",0,1,0,0
"SofS","c03","chc03_e4","June 8, 1847","Mrs. Keenan is beside herself with grief.",0,1,0,0
"SofS","c03","chc03_e4","June 8, 1847","On top of that, our Patrick is worse.",0,1,0,0
"SofS","c03","chc03_e4","June 8, 1847","Ma will not relinquish him for even one moment, even though Da offers to take him so that she can rest.",0,0,1,0
"SofS","c03","chc03_e4","June 8, 1847","She cradles him and sings to him and tries to get him to swallow a little food to keep up his strength.",1,0,0,0
"SofS","c03","chc03_e4","June 8, 1847","To make matters worse, a storm started to blow just as the service was being read for the dead — four in all, including Connor’s da and sister.",0,1,0,1
"SofS","c03","chc03_e4","June 8, 1847","Immediately afterward, the hatches were battened again.",0,0,1,1
"SofS","c03","chc03_e4","June 8, 1847","For two long days and nights, the wind howled and the ocean tossed our ship as if it were no more than a twig on the waters.",0,1,0,1
"SofS","c03","chc03_e4","June 8, 1847","Mrs. Kelleher wailed that the storm was brought on by the restless dead, lashing out in anger because they were not laid to rest in consecrated ground.",0,1,0,1
"SofS","c03","chc03_e4","June 8, 1847","She moaned as loud as the gale all night.",0,1,0,0
"SofS","c03","chc03_e4","June 8, 1847","Then she fell silent.",0,0,1,0
"SofS","c03","chc03_e4","June 8, 1847","I heard Mr. Kelleher tell Ma that she is feverish.",0,1,0,0
"SofS","c03","chc03_e4","June 8, 1847","I wish this voyage would end.",0,1,0,1
"SofS","c03","chc03_e4","June 8, 1847","I wish we were in Canada.",1,0,0,1
"SofS","c03","chc03_e4","June 8, 1847","Uncle Liam says the air is clean and clear there.",1,0,0,1
"SofS","c03","chc03_e4","June 8, 1847","He says there are trees for as far as a man can walk in a week, maybe even farther, and that the forests are filled with the music of birds, some of which he had never seen in Ireland.",1,0,0,1
"SofS","c03","chc03_e6","June 10, 1847","I never noticed how much space Patrick took up in our lives.",0,1,0,0
"SofS","c03","chc03_e6","June 10, 1847","He was such a small thing and so sweet and quick to smile.",1,1,0,0
"SofS","c03","chc03_e6","June 10, 1847","But now that he is gone, our berth seems so quiet and empty, and Ma does not seem to know what to do with herself.",0,1,0,0
"SofS","c03","chc03_e6","June 10, 1847","Da comforts her, but he has a faraway look in his eyes, and I imagine he is remembering Patrick.",1,1,0,0
"SofS","c03","chc03_e13","June 17, 1847","I was on deck again admiring the billowy clouds above, the rich green of the fields and forests, and the deep blue of the water when I had a terrible fright.",1,0,0,1
"SofS","c03","chc03_e13","June 17, 1847","I looked down and saw a body floating in the water.",0,1,0,1
"SofS","c03","chc03_e13","June 17, 1847","A terror went through me for it had no shroud, and I thought of all those we had buried at sea.",0,1,0,1
"SofS","c03","chc03_e13","June 17, 1847","I whispered a prayer and turned away, but I think the sight will haunt me.",0,1,0,1
"SofS","c04","chc04_e14","July 21, 1847","Sister Marie-France sent for me late today.",0,0,1,0
"SofS","c04","chc04_e14","July 21, 1847","She has found me a position.",1,0,0,1
"SofS","c04","chc04_e14","July 21, 1847","My employers are to be Mr. and Mrs. Johnson.",0,0,1,1
"SofS","c04","chc04_e14","July 21, 1847","He is a businessman.",0,0,1,0
"SofS","c04","chc04_e14","July 21, 1847","They have three children.",0,0,1,0
"SofS","c04","chc04_e14","July 21, 1847","Someone will come to collect me.",0,0,1,1
"SofS","c04","chc04_e19","July 28, 1847","Nellie Johnson came and stood beside me this morning while I hung out the linens.",0,0,1,0
"SofS","c04","chc04_e19","July 28, 1847","She has a head full of golden curls and the little pink lips of a cherub.",1,0,0,0
"SofS","c04","chc04_e19","July 28, 1847","She clutched a doll under one arm and watched me, feet firmly planted, for a few minutes.",0,0,1,0
"SofS","c04","chc04_e19","July 28, 1847","“Is it true you believe in fairies?” she asked at last.",0,0,1,1
"SofS","c04","chc04_e19","July 28, 1847","I did not know what to say, so I asked her where she had heard such a thing.",0,0,1,1
"SofS","c04","chc04_e19","July 28, 1847","“From Peggy,” she said, meaning her sister, who is eleven and is like her mother in every way.",0,1,0,1
"SofS","c04","chc04_e19","July 28, 1847","“She says all Irish believe in fairies.” “Do you not believe in them?” I asked.",1,1,0,1
