book_name,chapter_id,entry_id,date,sentence,Positive_score,Positive_pred,Negative_score,Negative_pred,Neutral_score,Neutral_pred
AinUTL,1,ch1_e1,le 8 mai 1666,This was not always my diary.,0.08148133,0,0.18259798,0,0.8806048,1
AinUTL,1,ch1_e1,le 8 mai 1666,I found it in the library as I searched for a book one day.,0.0940346,0,0.055155165,0,0.9355888,1
AinUTL,1,ch1_e1,le 8 mai 1666,Was it Maman’s or Papa’s?,0.044086553,0,0.089321844,0,0.9397414,1
AinUTL,1,ch1_e1,le 8 mai 1666,"Both sets of their initials are written on the first page, all entwined.",0.062252875,0,0.020179627,0,0.9621814,1
AinUTL,1,ch1_e1,le 8 mai 1666,"Sadly, I will never know which of them gave it to the other.",0.062372096,0,0.21103327,0,0.84186846,1
AinUTL,1,ch1_e1,le 8 mai 1666,"I have claimed it as my own, and have written my name upon its cover: Hélène St. Onge.",0.17642212,0,0.13271515,0,0.83793855,1
AinUTL,1,ch1_e1,le 8 mai 1666,"I cannot remember Maman, since I was an infant when she died, but Papa, dear Papa, I shall never forget.",0.39059144,0,0.6456521,1,0.415612,0
AinUTL,1,ch1_e1,le 8 mai 1666,"He is gone now as well, smallpox having taken him this winter, although in my heart I am certain that at least in part he died of sadness and loss.",0.55423266,1,0.94495964,1,0.099841215,0
AinUTL,1,ch1_e1,le 8 mai 1666,"Writing in this journal will be a little like talking to him, I think.",0.22363524,0,0.16479425,0,0.80875164,1
AinUTL,1,ch1_e1,le 8 mai 1666,How I miss talking to him.,0.019855587,0,0.11122491,0,0.94669193,1
AinUTL,1,ch1_e1,le 8 mai 1666,"There is Catherine, of course.",0.079344116,0,0.03065816,0,0.9588314,1
AinUTL,1,ch1_e1,le 8 mai 1666,"I love my sister very much, but she is sixteen years of age and I am thirteen.",0.06838786,0,0.052700985,0,0.94801444,1
AinUTL,1,ch1_e1,le 8 mai 1666,Catherine is quite grand.,0.114475034,0,0.02615818,0,0.9620729,1
AinUTL,1,ch1_e1,le 8 mai 1666,I am not.,0.0086855795,0,0.024890648,0,0.9847889,1
AinUTL,1,ch1_e1,le 8 mai 1666,Sometimes it seems as if fifty years separate us rather than three.,0.5755897,1,0.60026014,1,0.36638454,0
AinUTL,1,ch1_e2,le 9 mai 1666,"There is so much to write, if I am to keep this as a proper record of my life.",0.40623912,0,0.5917867,1,0.4398869,0
AinUTL,1,ch1_e2,le 9 mai 1666,"Where to begin, though?",0.02624404,0,0.04782171,0,0.95880085,1
AinUTL,1,ch1_e2,le 9 mai 1666,"I might write all about myself, although I am not very interesting.",0.05064205,0,0.11491931,0,0.91139144,1
AinUTL,1,ch1_e2,le 9 mai 1666,"I am plain, with green eyes and a pointed chin.",0.015080863,0,0.028309483,0,0.9747004,1
AinUTL,1,ch1_e2,le 9 mai 1666,Catherine says I look like my cat Minette.,0.027215103,0,0.022755703,0,0.98002005,1
AinUTL,1,ch1_e2,le 9 mai 1666,She does not say this to be cruel.,0.005152161,0,0.027561337,0,0.9854455,1
AinUTL,1,ch1_e2,le 9 mai 1666,It is only the truth.,0.018992543,0,0.079047345,0,0.95125663,1
AinUTL,1,ch1_e2,le 9 mai 1666,"Meow , I say back to her.",0.079122536,0,0.12695964,0,0.90020686,1
AinUTL,1,ch1_e2,le 9 mai 1666,"I may have large eyes, but I certainly do not have black fur.",0.0131824855,0,0.036376983,0,0.9715166,1
AinUTL,1,ch1_e2,le 9 mai 1666,"Papa once told me that the morning I was born a fierce storm arose, and I came into this world in the midst of it.",0.7418213,1,0.7862983,1,0.19020674,0
AinUTL,1,ch1_e2,le 9 mai 1666,A lovely rainbow spread itself across the sky and Papa held me up so that my first sight of the world might be one of beauty.,0.87368083,1,0.66041446,1,0.22435898,0
AinUTL,1,ch1_e2,le 9 mai 1666,I smiled.,0.028315904,0,0.0035270934,0,0.993328,1
AinUTL,1,ch1_e2,le 9 mai 1666,"My old nurse, Louise, says it would only have been gas, but Papa always insisted that it was a smile.",0.40898272,0,0.40081832,0,0.61298877,1
AinUTL,1,ch1_e2,le 9 mai 1666,Rainbows still make me smile.,0.34479985,0,0.17645219,0,0.7700338,1
AinUTL,1,ch1_e3,le 10 mai 1666,Today I thought I had lost Minette.,0.072334126,0,0.116592765,0,0.90648365,1
AinUTL,1,ch1_e3,le 10 mai 1666,She does love to wander.,0.0682033,0,0.044330347,0,0.9513605,1
AinUTL,1,ch1_e3,le 10 mai 1666,"Our home has twenty rooms after all, and many excellent places to hide.",0.7485404,1,0.24740638,0,0.5537824,1
AinUTL,1,ch1_e3,le 10 mai 1666,"There is also the barn or the stable if you do not mind the smell of manure, and I do not.",0.090226434,0,0.32409105,0,0.74194676,1
AinUTL,1,ch1_e3,le 10 mai 1666,"Sometimes, like Minette, I roam in the meadows and woods, or climb the thick branches of the old oak trees.",0.26702288,0,0.11834795,0,0.77410024,1
AinUTL,1,ch1_e3,le 10 mai 1666,Catherine would not approve of the climbing.,0.08155426,0,0.114697486,0,0.8972906,1
AinUTL,1,ch1_e3,le 10 mai 1666,"I found Minette at last in the library, which, after my chamber, is my favourite place in this house.",0.33355498,0,0.2675503,0,0.6886187,1
AinUTL,1,ch1_e3,le 10 mai 1666,It was Papa’s favourite room also.,0.090896405,0,0.024239695,0,0.96346164,1
AinUTL,1,ch1_e3,le 10 mai 1666,"How many hours had he spent here working on his book, writing in his journal, carrying on the work he was never to finish?",0.3901809,0,0.7936338,1,0.2733538,0
AinUTL,1,ch1_e3,le 10 mai 1666,I keep that journal with my own things now.,0.05442546,0,0.064639,0,0.9461502,1
