book_name,chapter_id,entry_id,date,sentence,Positive_score,Positive_pred,Negative_score,Negative_pred,Neutral_score,Neutral_pred,positive,negative,neutral,immigration
NbutC,14,ch14_e2,"November 5th, 1784","He must be so lonely here, knowing he will never see his family again.",0.55972224,1,0.93417454,1,0.11979806,0,0,1,0,1
NbutC,1,ch1_e2,"October 7th, 1783","It is so awful I cannot bear it, but I am so full of grief and anger and just plain disbelief that if I do not let it out I will die!",0.17767897,0,0.92906666,1,0.21772993,0,0,1,0,0
NbutC,8,ch8_e6,"May 16th, 1784","I just shut my eyes and bury my nose in the deep purple blossoms and inhale great wafts of their smell, and for a moment or two I can almost believe I am home and all of this has just been one long bad dream.",0.6503888,1,0.92702883,1,0.09738886,0,0,1,0,1
NbutC,1,ch1_e4,"October 9th, 1783","I am tired, after our long journeying, but it comforts me to write.",0.6862372,1,0.92472583,1,0.10238888,0,0,1,0,1
NbutC,3,ch3_e6,"December 8th, 1783","It’s strange how I go along for several days feeling almost content, and then I wake up one morning feeling homesick and miserable.",0.42097184,0,0.9212112,1,0.1608181,0,0,1,0,1
NbutC,1,ch1_e20,"October 25th, 1783",Poor little Jamie will be loaded down with as much as he can bear.,0.49505606,0,0.9163584,1,0.16130975,0,0,1,0,1
NbutC,11,ch11_e4,"August 30th, 1784","It is nowhere near as roomy or as comfortable as our house back home, of course, but I cannot begin to describe how overjoyed I feel.",0.85400015,1,0.91372544,1,0.08425767,0,1,0,0,1
NbutC,1,ch1_e20,"October 25th, 1783",This has to be one of the saddest days we’ve had since we had to flee from our home.,0.79123217,1,0.91358614,1,0.08763616,0,0,1,0,1
NbutC,1,ch1_e15,"October 20th, 1783","I looked back once, then when the current took hold of us I could not do anything but hang on for dear life.",0.6001956,1,0.912823,1,0.13081977,0,0,1,0,1
NbutC,1,ch1_e19,"October 24th, 1783",How will we survive without our possessions?,0.6237469,1,0.910165,1,0.13057882,0,0,1,0,1
