book_name,chapter_id,date,sentence,version,neutral,positive,negative,immigration
AinUTL,,,"By the time the letter reached France, I would be wed.",original,0,1,1,1
AinUTL,,,"By the time my letter arrived in France, I would already be married.",aug_1,0,1,1,1
AinUTL,,,The letter would reach France long after I had been wed.,aug_2,0,1,1,1
AinUTL,,,Then it spreads its wings and soars into the sunshine of a new world.,original,0,1,0,1
AinUTL,,,Then it opens its wings wide and soars up into the bright sunshine of a new world.,aug_1,0,1,0,1
AinUTL,,,Then it spreads its wings and rises into the sunshine of a brand new world.,aug_2,0,1,0,1
AinUTL,,,Or you may return to France.” I said that I could not go back to France.,original,0,1,1,1
AinUTL,,,"Or you could return to France."" I said that going back to France was not something I could do.",aug_1,0,1,1,1
AinUTL,,,"Or perhaps you may return to France."" I told him I could not go back to France.",aug_2,0,1,1,1
AinUTL,,,"I was almost sad to leave our vessel this morning, since it has been my home all these months.",original,0,1,1,1
AinUTL,,,"I was nearly sad to leave our vessel this morning, for it had been my home throughout all these months.",aug_1,0,1,1,1
AinUTL,,,"Leaving our vessel this morning made me almost sad, since it has served as my home all these months.",aug_2,0,1,1,1
AinUTL,,,New France sounds so exciting and mysterious.,original,0,1,0,1
AinUTL,,,New France sounds truly exciting and rather mysterious.,aug_1,0,1,0,1
AinUTL,,,How exciting and mysterious New France sounds.,aug_2,0,1,0,1
AinUTL,,,"The country is wild and beautiful, they have told us, and dangerous beyond belief.",original,0,1,1,1
AinUTL,,,"They have told us the country is wild and beautiful, yet dangerous beyond all belief.",aug_1,0,1,1,1
AinUTL,,,"The country, we have been told, is wild and beautiful and dangerous beyond belief.",aug_2,0,1,1,1
AinUTL,,,"Hopefully you will always see New France in the same way,” he answered.",original,0,1,0,1
AinUTL,,,"Hopefully you will always view New France in the same way,"" he answered.",aug_1,0,1,0,1
AinUTL,,,"I hope you will always see New France that way,"" he replied.",aug_2,0,1,0,1
AinUTL,,,Now they need not travel on to Montréal.” I know short Marie and Marie with the freckles have found what they wanted.,original,0,1,0,1
AinUTL,,,"Now they need not travel on to Montréal."" I know that short Marie and freckled Marie have found what they were looking for.",aug_1,0,1,0,1
AinUTL,,,"Now they need not continue on to Montréal."" I know both Maries — the short one and the freckled one — have found what they wanted.",aug_2,0,1,0,1
AinUTL,,,"I thought leaving New France might help, but running from my grief did not help at all.” His voice was soft and kind.",original,0,1,1,1
AinUTL,,,"I thought leaving New France might bring some relief, but fleeing my grief did not help at all."" His voice was gentle and kind.",aug_1,0,1,1,1
AinUTL,,,"I believed leaving New France might help, but running from my grief changed nothing."" His voice was soft and warm.",aug_2,0,1,1,1
AinUTL,,,"After all this while on the ship, the thought of setting my feet onto dry land was wonderful.",original,0,1,1,1
AinUTL,,,"After spending all this time aboard the ship, the idea of planting my feet on dry land was truly wonderful.",aug_1,0,1,1,1
AinUTL,,,The thought of setting my feet on dry land was wonderful after all these weeks on the ship.,aug_2,0,1,1,1
AinUTL,,,"Home draws closer, Hélène.",original,0,1,0,1
AinUTL,,,"We are drawing closer to home, Hélène.",aug_1,0,1,0,1
AinUTL,,,"Home is getting closer now, Hélène.",aug_2,0,1,0,1
AinUTL,,,"I hope that we reach land quickly, and I told Monsieur Aubry that I could not wait to see Montréal.",original,0,1,0,1
AinUTL,,,"I hope we reach land soon, and I told Monsieur Aubry I could hardly wait to see Montréal.",aug_1,0,1,0,1
AinUTL,,,"I told Monsieur Aubry that I could not wait to see Montréal, and I dearly hope we reach land quickly.",aug_2,0,1,0,1
AinUTL,,,"“We shall make our friends among the better people in Montréal,” she says.",original,0,1,0,1
AinUTL,,,"""We shall become friends with the better sort of people in Montréal,"" she says.",aug_1,0,1,0,1
AinUTL,,,"""In Montréal, we shall make our friends among the finer people,"" she says.",aug_2,0,1,0,1
AinUTL,,,As the ship drew closer I could see that the site chosen for Québec is magnificent and imposing.,original,0,1,0,1
AinUTL,,,"As we drew closer in the ship, I could see that the location chosen for Québec is magnificent and imposing.",aug_1,0,1,0,1
AinUTL,,,"Drawing nearer, I saw that the site selected for Québec was truly magnificent and imposing.",aug_2,0,1,0,1
AinUTL,,,"“You will have to become accustomed to land again.” I set Minette down, for she was struggling, doubtlessly anxious to set her paws down upon the soil of New France.",original,0,1,0,1
AinUTL,,,"""You will need to get used to land again."" I set Minette down, since she was struggling, clearly eager to place her paws on the soil of New France.",aug_1,0,1,0,1
AinUTL,,,"""You will have to grow accustomed to land once more."" I put Minette down, for she was restless, doubtlessly anxious to feel the ground of New France beneath her paws.",aug_2,0,1,0,1
AinUTL,,,The sailors danced on the deck this morning.,original,0,1,0,1
AinUTL,,,"This morning, the sailors were dancing on the deck.",aug_1,0,1,0,1
