book_name,chapter_id,entry_id,date,sentence,positive,negative,neutral,immigration
AinUTL,2,ch2_e7,le 12 juin 1666,"We were all tired when we stopped at this inn for the night, and I fell asleep quickly.",0,0,1,1
AinUTL,2,ch2_e7,le 12 juin 1666,"But I have had a dream that woke me, and so I lit a candle and will write a while.",0,0,1,0
AinUTL,2,ch2_e7,le 12 juin 1666,"I had dreamed of home, of a place I will never see again.",0,1,0,1
AinUTL,2,ch2_e7,le 12 juin 1666,I will not watch the lambs play in the fields near Reignac.,0,1,0,0
AinUTL,2,ch2_e7,le 12 juin 1666,"They will grow to be fat sheep, their wool will be woven into shawls and blankets, and I will never see any of it, for I will be far away when that happens.",0,1,0,1
AinUTL,2,ch2_e7,le 12 juin 1666,"Pears will ripen in the orchard all through the summer, the harvest will be brought home, the roof of our old house will be covered in snow, and then frogs will begin to peep in the woods beyond the meadow in spring.",0,0,1,0
AinUTL,2,ch2_e7,le 12 juin 1666,There will be another home for us some day.,1,0,0,1
AinUTL,2,ch2_e7,le 12 juin 1666,I will put out the candle now.,0,0,1,0
AinUTL,2,ch2_e7,le 12 juin 1666,Perhaps I will dream of that new home.,1,0,0,1
AinUTL,2,ch2_e20,le 28 juin 1666,I have not been able to see land for six days.,0,0,1,1
AinUTL,2,ch2_e20,le 28 juin 1666,"Our bedding has an unpleasant dampness to it now, but I am still grateful for the privacy I have as I write this.",0,1,0,0
AinUTL,2,ch2_e20,le 28 juin 1666,"Séraphin said, “We will not see land again for perhaps three months, mademoiselle.",0,1,1,1
AinUTL,2,ch2_e20,le 28 juin 1666,"I do hope you enjoy the sight of water.” I knew this, but to hear it from the mouth of a sailor made it seem too real.",0,1,1,1
AinUTL,2,ch2_e20,le 28 juin 1666,The weather is fine and the wind is blowing smartly.,1,0,0,0
AinUTL,2,ch2_e20,le 28 juin 1666,"Seabirds, I have no idea as to what sort, soar above us.",0,0,1,0
AinUTL,2,ch2_e20,le 28 juin 1666,Often they do not even flap their wings.,0,0,1,0
AinUTL,2,ch2_e20,le 28 juin 1666,"How astonishing it must be to have such freedom, to journey anywhere that the wind takes you.",1,0,0,1
AinUTL,2,ch2_e20,le 28 juin 1666,"This journey is like that for me, although I cannot tell Catherine of such ideas.",0,1,1,1
AinUTL,3,ch3_e5,le 12 juillet 1666,"Catherine continues to be seasick, as do most of the others.",0,1,0,1
AinUTL,3,ch3_e5,le 12 juillet 1666,"It is little wonder, since the air is so foul here.",0,1,0,0
AinUTL,3,ch3_e5,le 12 juillet 1666,Illness comes from foul air.,0,1,0,0
AinUTL,4,ch4_e6,le 21 août 1666,Today we are in fog.,0,0,1,0
AinUTL,4,ch4_e6,le 21 août 1666,"It surrounds us like a wet, grey blanket.",0,1,1,0
AinUTL,4,ch4_e6,le 21 août 1666,There is not much wind and so the ship moves slowly.,0,1,0,1
AinUTL,4,ch4_e6,le 21 août 1666,"Water patters everywhere, dropping from the lines and sails.",0,0,1,1
AinUTL,4,ch4_e6,le 21 août 1666,"I pulled the hood of my cloak up and held it closely around my neck, but still the dampness reached in.",0,1,0,0
AinUTL,4,ch4_e6,le 21 août 1666,The sailors and the captain are wary.,0,1,1,1
AinUTL,4,ch4_e6,le 21 août 1666,One man rings a bell.,0,0,1,0
AinUTL,4,ch4_e6,le 21 août 1666,Another blows a horn.,0,0,1,0
AinUTL,4,ch4_e6,le 21 août 1666,That is to warn any ship near to us that we are here.,0,0,1,1
AinUTL,4,ch4_e6,le 21 août 1666,"Men are in the rigging, peering out into the greyness, searching for other vessels and for what Monsieur Aubry says are huge mountains of ice.",0,0,1,1
AinUTL,4,ch4_e6,le 21 août 1666,"They sometimes drift down from the north, even at this time of year.",0,0,1,0
AinUTL,4,ch4_e6,le 21 août 1666,"The ice mountains are dreadfully dangerous to the ship, and all care must be taken to steer clear of them.",0,1,0,1
