book_name,chapter_id,entry_id,date,sentence,Positive_score,Positive_pred,Negative_score,Negative_pred,Neutral_score,Neutral_pred,positive,negative,neutral,immigration
DRtoF,c11,chc11_e3,"Friday, January 1
st
, 1864",I wonder if it’s too much to hope for that the war in the United States ends and Thomas comes home safe.,0.8967353,1,0.92399675,1,0.06370005,0,0,1,0,0
DRtoF,c01,chc01_e11,"Monday, January 26
th
, 1863","Nothing to do but move on at night and sleep in barns or sheds during the day, and eat whatever scraps our new Conductor finds for us.",0.73455244,1,0.9011683,1,0.10210051,0,0,1,0,1
DRtoF,c02,chc02_e7,"Sunday, April 26
th
, 1863","Thought that whippings, and being hungry all the time, and being afraid of being sold away from our families was the way we were supposed to live.",0.6398802,1,0.8990908,1,0.13080715,0,0,1,0,0
DRtoF,c14,chc14_e2,"Saturday, April 9
th
, 1864","Amelia has never told Sarah about when her daddy was missing last November, but Sarah knows how dangerous sailing on the lakes can be.",0.8373189,1,0.88603497,1,0.11245148,0,0,1,0,1
DRtoF,c11,chc11_e8,"Saturday, January 9
th
, 1864","They could have left us with Auntie Sal and Bessie — running is so dangerous, some children’s parents do leave the little ones with friends or relatives for safety’s sake — but then they would be mourning us, and Joseph and I would still be slaves and we wouldn’t ever know what had happened to them.",0.73593724,1,0.8772473,1,0.13239136,0,0,1,0,1
DRtoF,c05,chc05_e10,"Friday, July 10
th
, 1863","He’s just as muddy and wet as Joseph now, though, and I suspect he’s just as miserable as the rest of us.",0.5469813,1,0.87539595,1,0.17187162,0,0,1,0,0
DRtoF,c06,chc06_e2,"Saturday, August 1
st
, 1863",I remembered standing in the wind on that boat and saying to myself that it was the wind of freedom that was blowing in my face.,0.67567086,1,0.8751536,1,0.14496143,0,1,0,0,1
DRtoF,c02,chc02_e7,"Sunday, April 26
th
, 1863","Young children like Bessie — all they got to look forward to for the rest of their lives is being slaves, and all they can hope for is not to be hurt too bad or sold away.",0.7770634,1,0.8718864,1,0.12177548,0,0,1,0,0
DRtoF,c04,chc04_e7,"Saturday, June 6
th
, 1863","People got this sick back home, they usually died.",0.45194554,0,0.8696147,1,0.21263553,0,0,1,0,0
DRtoF,c01,chc01_e10,"Sunday, January 25
th
, 1863",It’s hard to let ourselves be happy here when we don’t know where they are or what’s happened to them.,0.8089506,1,0.8669872,1,0.12569626,0,0,1,0,0
DRtoF,c05,chc05_e4,"Friday, July 3
rd
, 1863","Besides, Papa says if she’s in Canada, it must mean she’s not safe in Virginia, and she’s not about to return or try to carry us back.",0.9075859,1,0.86652315,1,0.09724825,0,0,1,0,1
DRtoF,c01,chc01_e11,"Monday, January 26
th
, 1863","The night was calm and quiet — good for the crossing on that rickety old raft, but not good so far as making noise was concerned.",0.6179938,1,0.8639779,1,0.1525322,0,1,1,0,1
DRtoF,c02,chc02_e7,"Sunday, April 26
th
, 1863",My old life there seems so far away!,0.7243982,1,0.8628067,1,0.15276286,0,1,0,0,1
DRtoF,c06,chc06_e6,"Wednesday, August 5
th
, 1863",Amelia says her mother worries about her daddy — there’ve been a lot of shipwrecks in the lake here.,0.7136884,1,0.8542698,1,0.17470391,0,0,1,0,1
DRtoF,c02,chc02_e7,"Sunday, April 26
th
, 1863",A man who went to Reverend Parks’s church was snatched away from his family by a slave catcher in Ohio and sold down south even though he was a free man.,0.6626458,1,0.8528994,1,0.17462577,0,0,1,0,0
DRtoF,c01,chc01_e7,"Friday, January 16
th
, 1863",Even worse there than on a tobacco plantation like ours.,0.64698106,1,0.84769547,1,0.19048692,0,0,1,0,0
DRtoF,c01,chc01_e7,"Friday, January 16
th
, 1863","Mama said they nearly backed out then, but the thought of losing Thomas was just too much to bear so they decided to go ahead and take the chance, terrible though it was.",0.6558293,1,0.8464265,1,0.17646247,0,0,1,0,0
DRtoF,c12,chc12_e10,"Saturday, February 20
th
, 1864",She was always worrying that some slave catcher would recognize her as a runaway and carry her back to Virginia.,0.54364586,1,0.8426679,1,0.22660321,0,0,1,0,0
