book_name,chapter_id,entry_id,date,sentence,positive,negative,neutral,immigration
FitS,c02,chc02_e6,August 17,We are entering Hudson Bay.,0,0,1,0
FitS,c02,chc02_e6,August 17,We get closer to land every second!,1,0,0,1
FitS,c02,chc02_e8,August 24,We have just survived the most dreadful storm.,1,1,0,0
FitS,c02,chc02_e8,August 24,"I could not write, as we were trapped in the hold as the ship pitched and rolled in the most terrifying way.",0,1,0,1
FitS,c02,chc02_e8,August 24,"Robbie was horribly sick, as were many others, and the smell became so bad that others became sick too, until the entire hold smelled of vomit and sweat, and that smell was enough to make the rest of us sick, as well.",0,1,0,1
FitS,c02,chc02_e8,August 24,When the storm was finally over we had to clean up the mess.,0,1,0,0
FitS,c02,chc02_e8,August 24,And every minute I became more and more aware of how close the quarters are until at times I felt I would certainly faint.,0,1,0,1
FitS,c02,chc02_e8,August 24,I refused to allow that to happen; it would have given Kate too many opportunities to torment me.,0,1,1,0
FitS,c02,chc02_e8,August 24,I am exhausted.,0,1,1,0
FitS,c04,chc04_e4,October 10,"Ever since we left the comfort of Oxford House days ago, the wind has blown cold in our faces, the rain fell, the boats struggled to stay upright and we did not know if each moment would be our last.",0,1,0,1
FitS,c04,chc04_e4,October 10,"My only consolation as I prayed for the safety of my family was that if we were to die, I would see you, Mother, all that much sooner.",0,1,0,0
FitS,c04,chc04_e4,October 10,It is getting too cold at night to write and has been too wet.,0,1,0,0
FitS,c05,chc05_e5,November 16,Father and James were so happy to see Robbie and me.,1,0,0,0
FitS,c05,chc05_e5,November 16,"Father immediately tried to find us a place of our own, but there are too few huts.",0,1,0,1
FitS,c05,chc05_e5,November 16,Some of our party were already staying in storage sheds.,0,1,0,1
FitS,c05,chc05_e5,November 16,"So Father and the other men have to build enough huts for everyone, and even then we will have to share.",0,1,0,1
FitS,c05,chc05_e5,November 16,Today they cut down trees.,0,0,1,0
FitS,c08,chc08_e1,February 5,I have not been writing because when the days are clear and there is no wind I have taken every opportunity to play.,1,0,0,0
FitS,c08,chc08_e1,February 5,"I am now known among the women as the fiercest, most dangerous player of all the settlers, including Kate, who tried to keep up with me but was unable to.",1,0,0,1
FitS,c08,chc08_e1,February 5,Even Father and James and Robbie took note as they watched some of our games.,1,0,0,0
FitS,c08,chc08_e1,February 5,Father seemed happy I was enjoying myself and did not seem to notice my unladylike behaviour.,1,0,0,0
FitS,c08,chc08_e1,February 5,Robbie was very proud of me.,1,0,0,0
FitS,c16,chc16_e1,October 1,It snowed today and the wind blew cold.,0,1,0,0
FitS,c16,chc16_e1,October 1,I cannot say I am looking forward to a long bitter winter.,0,1,0,0
FitS,c16,chc16_e1,October 1,It would not be so difficult if we knew that we could go back to The Forks in the spring.,0,1,0,1
FitS,c16,chc16_e1,October 1,But the spring will bring only more waiting until a ship can take us home again.,0,1,0,1
FitS,c16,chc16_e1,October 1,And then what?,0,1,0,0
FitS,c16,chc16_e1,October 1,Our old home might now be overrun by sheep so that we cannot farm.,0,1,0,1
FitS,c16,chc16_e1,October 1,Will we end up in the slums of Glasgow like all the rest of the people thrown off the land?,0,1,0,1
